mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 830000, ' objective : ', 854653.11999999313)
('iter : ', 770000, ' objective : ', 889615.37999999127)
('iter : ', 690000, ' objective : ', 946327.93999999878)
('iter : ', 840000, ' objective : ', 854319.12000000279)
('iter : ', 620000, ' objective : ', 1054476.4939999932)
('iter : ', 700000, ' objective : ', 945231.41000000085)
('iter : ', 780000, ' objective : ', 888905.42000000365)
('iter : ', 850000, ' objective : ', 853945.20000000508)
('iter : ', 630000, ' objective : ', 1053815.7319999854)
('iter : ', 790000, ' objective : ', 888133.01999999606)
('iter : ', 710000, ' objective : ', 944171.20999999321)
('iter : ', 860000, ' objective : ', 853662.84000000544)
('iter : ', 800000, ' objective : ', 887461.95999999694)
('iter : ', 870000, ' objective : ', 853279.92000000505)
('iter : ', 720000, ' objective : ', 943072.23000000091)
('iter : ', 640000, ' objective : ', 1053165.6480000028)
('iter : ', 880000, ' objective : ', 853125.91999998945)
('iter : ', 810000, ' objective : ', 886738.94000001205)
('iter : ', 730000, ' objective : ', 942017.53000000294)
('iter : ', 650000, ' objective : ', 1052532.8959999895)
('iter : ', 890000, ' objective : ', 852838.20000000636)
('iter : ', 820000, ' objective : ', 886036.81999999646)
('iter : ', 740000, ' objective : ', 940963.18000000075)
('iter : ', 900000, ' objective : ', 852465.87999998988)
('iter : ', 660000, ' objective : ', 1051879.5480000013)
('iter : ', 830000, ' objective : ', 885331.65999998979)
('iter : ', 750000, ' objective : ', 939968.64000000595)
('iter : ', 840000, ' objective : ', 884713.95999999973)
('iter : ', 910000, ' objective : ', 852248.39999999828)
('iter : ', 670000, ' objective : ', 1051234.390000008)
('iter : ', 760000, ' objective : ', 939004.4399999982)
('iter : ', 920000, ' objective : ', 851940.60000000009)
('iter : ', 850000, ' objective : ', 884076.32000000356)
('iter : ', 770000, ' objective : ', 937965.85000000393)
('iter : ', 680000, ' objective : ', 1050568.668000001)
('iter : ', 930000, ' objective : ', 851573.27999999328)
('iter : ', 860000, ' objective : ', 883537.84000000427)
('iter : ', 780000, ' objective : ', 937004.44000000239)
('iter : ', 940000, ' objective : ', 851269.76000001759)
('iter : ', 870000, ' objective : ', 882896.76000001072)
('iter : ', 690000, ' objective : ', 1049914.9499999953)
('iter : ', 950000, ' objective : ', 851021.40000000107)
('iter : ', 790000, ' objective : ', 935995.05999999901)
('iter : ', 880000, ' objective : ', 882327.03999999678)
('iter : ', 700000, ' objective : ', 1049305.2719999973)
('iter : ', 960000, ' objective : ', 850832.55999999272)
('iter : ', 890000, ' objective : ', 881821.68000000785)
('iter : ', 800000, ' objective : ', 935091.52000000386)
('iter : ', 970000, ' objective : ', 850590.91999999911)
('iter : ', 710000, ' objective : ', 1048637.479999996)
('iter : ', 900000, ' objective : ', 881288.85999999859)
('iter : ', 810000, ' objective : ', 934159.69999999064)
('iter : ', 980000, ' objective : ', 850363.71999999858)
('iter : ', 720000, ' objective : ', 1047988.5339999902)
('iter : ', 910000, ' objective : ', 880786.77999999409)
('iter : ', 820000, ' objective : ', 933180.93999999866)
('iter : ', 990000, ' objective : ', 850147.32000000065)
('iter : ', 920000, ' objective : ', 880264.63999999664)
('iter : ', 830000, ' objective : ', 932260.89999999478)
('iter : ', 730000, ' objective : ', 1047339.7560000061)
('iter : ', 930000, ' objective : ', 879681.97999999975)
('iter : ', 840000, ' objective : ', 931275.93999998912)
('iter : ', 740000, ' objective : ', 1046679.9100000035)
('iter : ', 940000, ' objective : ', 879146.42000000249)
('iter : ', 850000, ' objective : ', 930511.55000000284)
('iter : ', 950000, ' objective : ', 878579.61999999383)
('iter : ', 750000, ' objective : ', 1046024.5299999986)
